fecha_hora_original,fecha_hora_bolivia,fecha,hora,hz,estado_rango
2026-06-18T10:38:28Z,2026-06-18T10:38:28-04:00,18/06/2026,10:38:28,49.963,Normal
2026-06-18T10:38:29Z,2026-06-18T10:38:29-04:00,18/06/2026,10:38:29,49.96,Normal
2026-06-18T10:38:30Z,2026-06-18T10:38:30-04:00,18/06/2026,10:38:30,49.956,Normal
2026-06-18T10:38:31Z,2026-06-18T10:38:31-04:00,18/06/2026,10:38:31,49.951,Normal
2026-06-18T10:38:32Z,2026-06-18T10:38:32-04:00,18/06/2026,10:38:32,49.944,Normal
2026-06-18T10:38:33Z,2026-06-18T10:38:33-04:00,18/06/2026,10:38:33,49.941,Normal
2026-06-18T10:38:34Z,2026-06-18T10:38:34-04:00,18/06/2026,10:38:34,49.943,Normal
2026-06-18T10:38:35Z,2026-06-18T10:38:35-04:00,18/06/2026,10:38:35,49.949,Normal
2026-06-18T10:38:36Z,2026-06-18T10:38:36-04:00,18/06/2026,10:38:36,49.956,Normal
2026-06-18T10:38:37Z,2026-06-18T10:38:37-04:00,18/06/2026,10:38:37,49.965,Normal
2026-06-18T10:38:38Z,2026-06-18T10:38:38-04:00,18/06/2026,10:38:38,49.975,Normal
2026-06-18T10:38:39Z,2026-06-18T10:38:39-04:00,18/06/2026,10:38:39,49.986,Normal
2026-06-18T10:38:40Z,2026-06-18T10:38:40-04:00,18/06/2026,10:38:40,49.999,Normal
2026-06-18T10:38:41Z,2026-06-18T10:38:41-04:00,18/06/2026,10:38:41,50.016,Normal
2026-06-18T10:38:42Z,2026-06-18T10:38:42-04:00,18/06/2026,10:38:42,50.032,Normal
2026-06-18T10:38:44Z,2026-06-18T10:38:44-04:00,18/06/2026,10:38:44,50.06,Normal
2026-06-18T10:38:45Z,2026-06-18T10:38:45-04:00,18/06/2026,10:38:45,50.072,Normal
2026-06-18T10:38:46Z,2026-06-18T10:38:46-04:00,18/06/2026,10:38:46,50.079,Normal
2026-06-18T10:38:47Z,2026-06-18T10:38:47-04:00,18/06/2026,10:38:47,50.078,Normal
2026-06-18T10:38:48Z,2026-06-18T10:38:48-04:00,18/06/2026,10:38:48,50.074,Normal
2026-06-18T10:38:49Z,2026-06-18T10:38:49-04:00,18/06/2026,10:38:49,50.07,Normal
2026-06-18T10:38:50Z,2026-06-18T10:38:50-04:00,18/06/2026,10:38:50,50.065,Normal
2026-06-18T10:38:51Z,2026-06-18T10:38:51-04:00,18/06/2026,10:38:51,50.059,Normal
2026-06-18T10:38:52Z,2026-06-18T10:38:52-04:00,18/06/2026,10:38:52,50.052,Normal
2026-06-18T10:38:53Z,2026-06-18T10:38:53-04:00,18/06/2026,10:38:53,50.048,Normal
2026-06-18T10:38:54Z,2026-06-18T10:38:54-04:00,18/06/2026,10:38:54,50.047,Normal
2026-06-18T10:38:55Z,2026-06-18T10:38:55-04:00,18/06/2026,10:38:55,50.051,Normal
2026-06-18T10:38:56Z,2026-06-18T10:38:56-04:00,18/06/2026,10:38:56,50.054,Normal
2026-06-18T10:38:57Z,2026-06-18T10:38:57-04:00,18/06/2026,10:38:57,50.054,Normal
2026-06-18T10:38:58Z,2026-06-18T10:38:58-04:00,18/06/2026,10:38:58,50.055,Normal
2026-06-18T10:38:59Z,2026-06-18T10:38:59-04:00,18/06/2026,10:38:59,50.055,Normal
2026-06-18T10:39:00Z,2026-06-18T10:39:00-04:00,18/06/2026,10:39:00,50.054,Normal
2026-06-18T10:39:01Z,2026-06-18T10:39:01-04:00,18/06/2026,10:39:01,50.055,Normal
2026-06-18T10:39:02Z,2026-06-18T10:39:02-04:00,18/06/2026,10:39:02,50.059,Normal
2026-06-18T10:39:03Z,2026-06-18T10:39:03-04:00,18/06/2026,10:39:03,50.06,Normal
2026-06-18T10:39:04Z,2026-06-18T10:39:04-04:00,18/06/2026,10:39:04,50.06,Normal
2026-06-18T10:39:05Z,2026-06-18T10:39:05-04:00,18/06/2026,10:39:05,50.059,Normal
2026-06-18T10:39:06Z,2026-06-18T10:39:06-04:00,18/06/2026,10:39:06,50.06,Normal
2026-06-18T10:39:07Z,2026-06-18T10:39:07-04:00,18/06/2026,10:39:07,50.061,Normal
2026-06-18T10:39:08Z,2026-06-18T10:39:08-04:00,18/06/2026,10:39:08,50.063,Normal
2026-06-18T10:39:09Z,2026-06-18T10:39:09-04:00,18/06/2026,10:39:09,50.064,Normal
2026-06-18T10:39:10Z,2026-06-18T10:39:10-04:00,18/06/2026,10:39:10,50.063,Normal
2026-06-18T10:39:11Z,2026-06-18T10:39:11-04:00,18/06/2026,10:39:11,50.053,Normal
2026-06-18T10:39:12Z,2026-06-18T10:39:12-04:00,18/06/2026,10:39:12,50.041,Normal
2026-06-18T10:39:13Z,2026-06-18T10:39:13-04:00,18/06/2026,10:39:13,50.028,Normal
2026-06-18T10:39:14Z,2026-06-18T10:39:14-04:00,18/06/2026,10:39:14,50.015,Normal
